"Fisheries: Farmgate Price by Geolocation, Species, Year and Quarter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,
,,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Quarter 1,Quarter 2,Quarter 3,Quarter 4
PHILIPPINES,..Roundscad (Galunggong),41.02,47.19,48.41,47.27,40.06,42.56,42.57,40.8,48.05,51.16,47.34,42.49,44.1,48.03,46.33,37.67,43.47,39.09,40.99,40.54,37.54,36.67,36.81,44.44,47.15,44.15,47.73,50.64,50.6,46.21,50.37,53.62,49.31,47.99,52.11,52.65,52.59,54.04,59.82,58.72,60.7,58.11,61.84,63.5,60.42,56.53,63.75,66.2,57.91,48.94,55.94,58.63,56.14,57.57,62.03,66.05,58.35,50.03,56.87,61.9,63.63,56.27,61.11,68.47,65,62.73,70.57,76.02,61.27,59.29,68.83,74.59,66.73,62.8,71.36,80.99,80.52,73.8,86.73,91.34,89.75,92.62,103.16,113.74,113.49,86.72,103.44,109.95,100.61,85.57,111.2,119.28,107.29,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
".. Data not available
Q1 2025 available data is preliminary.
Beginning in the first quarter of 2023, the sample coverage for BARMM includes provinces of Maguindanao del Sur and Maguindanao del Norte (previously Province of Maguindanao), Cotabato City and the eight cluster areas (63 barangays, previously from Province of Cotabato).
Farmgate price refers to the amount received at the first point of sale. For aquaculture and inland fisheries, it denotes the amount received by aquafarm operators and inland fishermen at their respective first points of sale. In the case of commercial and municipal fisheries, the farmgate price is the amount received upon unloading at the landing centers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest update:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250611 10:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippine Statistics Authority (PSA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisheries Statistics Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippine Statistics Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16th Floor PSA Headquarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSA Complex, East Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
